"merc.gpnum","merc.resultid","merc.raceid","merc.points","merc.percpoints","merc.percTOTALpoints","merc.year","merc.round","merc.seasonandround","newpointsys"
142,15491,974,18,41.8604651162791,17.8217821782178,2017,6,2017.25,FALSE
143,15499,975,43,100,42.5742574257426,2017,7,2017.3,FALSE
144,15510,976,28,65.1162790697674,27.7227722772277,2017,8,2017.35,FALSE
145,15520,977,37,86.046511627907,36.6336633663366,2017,9,2017.4,FALSE
146,15530,978,43,100,42.5742574257426,2017,10,2017.45,FALSE
147,15541,979,27,62.7906976744186,26.7326732673267,2017,11,2017.5,FALSE
148,15550,980,35,81.3953488372093,34.6534653465347,2017,12,2017.55,FALSE
149,15560,981,43,100,42.5742574257426,2017,13,2017.6,FALSE
150,15570,982,40,93.0232558139535,39.6039603960396,2017,14,2017.65,FALSE
151,15581,983,28,65.1162790697674,27.7227722772277,2017,15,2017.7,FALSE
152,15590,984,37,86.046511627907,36.6336633663366,2017,16,2017.75,FALSE
153,15600,985,35,81.3953488372093,34.6534653465347,2017,17,2017.8,FALSE
154,15611,986,20,46.5116279069767,19.8019801980198,2017,18,2017.85,FALSE
155,15621,987,30,69.7674418604651,29.7029702970297,2017,19,2017.9,FALSE
156,15630,988,43,100,42.5742574257426,2017,20,2017.95,FALSE
157,15641,989,22,51.1627906976744,21.7821782178218,2018,1,2018,FALSE
158,15651,990,33,76.7441860465116,32.6732673267327,2018,2,2018.04761904762,FALSE
159,15661,991,30,69.7674418604651,29.7029702970297,2018,3,2018.09523809524,FALSE
160,15670,992,25,58.1395348837209,24.7524752475248,2018,4,2018.14285714286,FALSE
161,15680,993,43,100,42.5742574257426,2018,5,2018.19047619048,FALSE
162,15692,994,25,58.1395348837209,24.7524752475248,2018,6,2018.2380952381,FALSE
163,15701,995,28,65.1162790697674,27.7227722772277,2018,7,2018.28571428571,FALSE
164,15710,996,31,72.0930232558139,30.6930693069307,2018,8,2018.33333333333,FALSE
165,15729,997,0,0,0,2018,9,2018.38095238095,FALSE
166,15731,998,30,69.7674418604651,29.7029702970297,2018,10,2018.42857142857,FALSE
167,15740,999,43,100,42.5742574257426,2018,11,2018.47619047619,FALSE
168,15750,1000,35,81.3953488372093,34.6534653465347,2018,12,2018.52380952381,FALSE
169,15761,1001,30,69.7674418604651,29.7029702970297,2018,13,2018.57142857143,FALSE
170,15770,1002,40,93.0232558139535,39.6039603960396,2018,14,2018.61904761905,FALSE
171,15780,1003,37,86.046511627907,36.6336633663366,2018,15,2018.66666666667,FALSE
172,15790,1004,43,100,42.5742574257426,2018,16,2018.71428571429,FALSE
173,15800,1005,43,100,42.5742574257426,2018,17,2018.7619047619,FALSE
174,15812,1006,25,58.1395348837209,24.7524752475248,2018,18,2018.80952380952,FALSE
175,15822,1007,22,51.1627906976744,21.7821782178218,2018,19,2018.85714285714,FALSE
176,15830,1008,35,81.3953488372093,34.6534653465347,2018,20,2018.90476190476,FALSE
177,15840,1009,35,81.3953488372093,34.6534653465347,2018,21,2018.95238095238,FALSE
178,15850,1010,44,100,43.1372549019608,2019,1,2019,TRUE
179,15860,1011,43,97.7272727272727,42.156862745098,2019,2,2019.04761904762,TRUE
180,15870,1012,43,97.7272727272727,42.156862745098,2019,3,2019.09523809524,TRUE
181,15880,1013,43,97.7272727272727,42.156862745098,2019,4,2019.14285714286,TRUE
182,15890,1014,44,100,43.1372549019608,2019,5,2019.19047619048,TRUE
183,15900,1015,40,90.9090909090909,39.2156862745098,2019,6,2019.2380952381,TRUE
184,15910,1016,38,86.3636363636364,37.2549019607843,2019,7,2019.28571428571,TRUE
185,15920,1017,43,97.7272727272727,42.156862745098,2019,8,2019.33333333333,TRUE
186,15932,1018,25,56.8181818181818,24.5098039215686,2019,9,2019.38095238095,TRUE
187,15940,1019,44,100,43.1372549019608,2019,10,2019.42857142857,TRUE
188,15957,1020,2,4.54545454545455,1.96078431372549,2019,11,2019.47619047619,TRUE
189,15960,1021,29,65.9090909090909,28.4313725490196,2019,12,2019.52380952381,TRUE
190,15971,1022,33,75,32.3529411764706,2019,13,2019.57142857143,TRUE
191,15981,1023,34,77.2727272727273,33.3333333333333,2019,14,2019.61904761905,TRUE
192,15992,1024,22,50,21.5686274509804,2019,15,2019.66666666667,TRUE
193,16000,1025,44,100,43.1372549019608,2019,16,2019.71428571429,TRUE
194,16010,1026,41,93.1818181818182,40.1960784313725,2019,17,2019.7619047619,TRUE
195,16020,1027,40,90.9090909090909,39.2156862745098,2019,18,2019.80952380952,TRUE
196,16030,1028,43,97.7272727272727,42.156862745098,2019,19,2019.85714285714,TRUE
197,16045,1029,6,13.6363636363636,5.88235294117647,2019,20,2019.90476190476,TRUE
198,16050,1030,38,86.3636363636364,37.2549019607843,2019,21,2019.95238095238,TRUE
199,16060,1031,37,84.0909090909091,36.2745098039216,2020,1,2020,TRUE
200,16070,1032,43,97.7272727272727,42.156862745098,2020,2,2020.05882352941,TRUE
201,16080,1033,41,93.1818181818182,40.1960784313725,2020,3,2020.11764705882,TRUE
202,16090,1034,25,56.8181818181818,24.5098039215686,2020,4,2020.17647058824,TRUE
203,16101,1035,34,77.2727272727273,33.3333333333333,2020,5,2020.23529411765,TRUE
204,16110,1036,41,93.1818181818182,40.1960784313725,2020,6,2020.29411764706,TRUE
205,16120,1037,43,97.7272727272727,42.156862745098,2020,7,2020.35294117647,TRUE
206,16133,1038,17,38.6363636363636,16.6666666666667,2020,8,2020.41176470588,TRUE
207,16140,1039,44,100,43.1372549019608,2020,9,2020.47058823529,TRUE
208,16150,1040,41,93.1818181818182,40.1960784313725,2020,10,2020.52941176471,TRUE
209,16160,1041,25,56.8181818181818,24.5098039215686,2020,11,2020.58823529412,TRUE
210,16170,1042,44,100,43.1372549019608,2020,12,2020.64705882353,TRUE
211,16180,1043,44,100,43.1372549019608,2020,13,2020.70588235294,TRUE
212,16190,1044,25,56.8181818181818,24.5098039215686,2020,14,2020.76470588235,TRUE
213,16200,1045,29,65.9090909090909,28.4313725490196,2020,15,2020.82352941176,TRUE
214,16215,1046,7,15.9090909090909,6.86274509803922,2020,16,2020.88235294118,TRUE
215,16221,1047,33,75,32.3529411764706,2020,17,2020.94117647059,TRUE
216,16230,1052,41,93.1818181818182,40.1960784313725,2021,1,2021,TRUE
217,16241,1053,19,43.1818181818182,18.6274509803922,2021,2,2021.04545454545,TRUE
218,16250,1054,41,93.1818181818182,40.1960784313725,2021,3,2021.09090909091,TRUE
219,16260,1055,40,90.9090909090909,39.2156862745098,2021,4,2021.13636363636,TRUE
220,16275,1056,7,15.9090909090909,6.86274509803922,2021,5,2021.18181818182,TRUE
221,16287,1057,0,0,0,2021,6,2021.22727272727,TRUE
222,16291,1059,30,68.1818181818182,29.4117647058824,2021,7,2021.27272727273,TRUE
223,16301,1058,34,77.2727272727273,33.3333333333333,2021,8,2021.31818181818,TRUE
224,16311,1060,30,68.1818181818182,29.4117647058824,2021,9,2021.36363636364,TRUE
225,16320,1061,43,72.8813559322034,31.1594202898551,2021,10,2021.40909090909,TRUE
226,16332,1062,18,40.9090909090909,17.6470588235294,2021,11,2021.45454545455,TRUE
227,16342,1063,7.5,17.0454545454545,7.35294117647059,2021,12,2021.5,TRUE
228,16351,1064,34,77.2727272727273,33.3333333333333,2021,13,2021.54545454545,TRUE
229,16361,1065,18,30.5084745762712,13.0434782608696,2021,14,2021.59090909091,TRUE
230,16370,1066,35,79.5454545454545,34.3137254901961,2021,15,2021.63636363636,TRUE
231,16380,1067,36,81.8181818181818,35.2941176470588,2021,16,2021.68181818182,TRUE
232,16391,1069,27,61.3636363636364,26.4705882352941,2021,17,2021.72727272727,TRUE
233,16401,1070,18,40.9090909090909,17.6470588235294,2021,18,2021.77272727273,TRUE
234,16410,1071,43,72.8813559322034,31.1594202898551,2021,19,2021.81818181818,TRUE
235,16420,1051,25,56.8181818181818,24.5098039215686,2021,20,2021.86363636364,TRUE
236,16430,1072,41,93.1818181818182,40.1960784313725,2021,21,2021.90909090909,TRUE
237,16441,1073,26,59.0909090909091,25.4901960784314,2021,22,2021.95454545455,TRUE
238,16451,1074,27,61.3636363636364,26.4705882352941,2022,1,2022,TRUE
239,16462,1075,11,25,10.7843137254902,2022,2,2022.04545454545,TRUE
240,16472,1076,27,61.3636363636364,26.4705882352941,2022,3,2022.09090909091,TRUE
241,16482,1077,12,20.3389830508475,8.69565217391304,2022,4,2022.13636363636,TRUE
242,16492,1078,18,40.9090909090909,17.6470588235294,2022,5,2022.18181818182,TRUE
243,16501,1079,25,56.8181818181818,24.5098039215686,2022,6,2022.22727272727,TRUE
244,16512,1080,14,31.8181818181818,13.7254901960784,2022,7,2022.27272727273,TRUE
245,16521,1081,27,61.3636363636364,26.4705882352941,2022,8,2022.31818181818,TRUE
246,16532,1082,27,61.3636363636364,26.4705882352941,2022,9,2022.36363636364,TRUE
247,16542,1083,16,36.3636363636364,15.6862745098039,2022,10,2022.40909090909,TRUE
248,16552,1084,33,55.9322033898305,23.9130434782609,2022,11,2022.45454545455,TRUE
